face,x,y,z
SF,0.33930889999999997,0.91804951,-0.17690642
NY,0.90721371,0.40666377000000004,-0.07984313
ES,0.8737502799999999,0.15698320000000002,0.45839751
EU,0.71543029,-0.44834221,0.53423385
VN,-0.054325860000000004,-0.9932658500000001,-0.08080061000000001
NZ,-0.9766695900000001,-0.18362631000000001,-0.08076036
TA,-0.8280505399999999,0.5528197399999999,-0.05135381000000001
